id,collection,title,date,page_url,source_urls,canonical_url,reason
iaae-ethics-15458418,iaae-ethics,[세종대학교] 생성형 AI  교수 학습 기본 활용 가이드라인,2023-06-17,https://iaae.ai/research/?bmode=view&idx=15458418,,,no-original-landing
iaae-ethics-14650700,iaae-ethics,[한국정보통신기술협회(TTA)] 2022 신뢰할 수 있는 인공지능 개발 안내서(안),2023-04-03,https://iaae.ai/research/?bmode=view&idx=14650700,,,no-original-landing
iaae-ethics-14219472,iaae-ethics,[스탠포드대] AI INDEX REPORT 2022,2023-02-13,https://iaae.ai/research/?bmode=view&idx=14219472,,,no-original-landing
iaae-ethics-14096500,iaae-ethics,[서울디지털재단] 메타버스 서울 윤리 가이드,2023-01-30,https://iaae.ai/research/?bmode=view&idx=14096500,,,no-original-landing
iaae-ethics-13415086,iaae-ethics,[KB금융그룹] AI 윤리 기준,2022-11-11,https://iaae.ai/research/?bmode=view&idx=13415086,,,no-original-landing
iaae-ethics-13119768,iaae-ethics,[미국 백악관] AI Bill of Rights (AI 권리장전),2022-10-07,https://iaae.ai/research/?bmode=view&idx=13119768,,,no-original-landing
iaae-ethics-12678687,iaae-ethics,[스캐터랩] AI챗봇 윤리점검표,2022-08-27,https://iaae.ai/research/?bmode=view&idx=12678687,,,no-original-landing
iaae-ethics-12659769,iaae-ethics,[LG] AI 윤리 원칙,2022-08-24,https://iaae.ai/research/?bmode=view&idx=12659769,,,no-original-landing
iaae-ethics-12061157,iaae-ethics,[IAAE] IAAE 디지털 휴먼 윤리 가이드라인_220701제정 (한글본),2022-07-01,https://iaae.ai/research/?bmode=view&idx=12061157,,,no-original-landing
iaae-ethics-11965439,iaae-ethics,[UneeQ] The Five Laws of Ethical Digital Human Design,2022-06-27,https://iaae.ai/research/?bmode=view&idx=11965439,,,no-original-landing
iaae-ethics-11376372,iaae-ethics,[SK텔레콤] 사람 중심의 AI 윤리 가치 원칙,2022-05-11,https://iaae.ai/research/?bmode=view&idx=11376372,,,no-original-landing
iaae-ethics-8935315,iaae-ethics,[CJ올리브네트웍스] AI 윤리 원칙,2021-11-23,https://iaae.ai/research/?bmode=view&idx=8935315,,,no-original-landing
iaae-ethics-7809807,iaae-ethics,[KAIEA] 제 2회 인공지능 윤리 대전 강연자료 (요약본),2021-09-07,https://iaae.ai/research/?bmode=view&idx=7809807,,,no-original-landing
iaae-ethics-7533254,iaae-ethics,[KAIST] 사회를 위한 보건의료 분야 인공지능 활용 가이드,2021-08-15,https://iaae.ai/research/?bmode=view&idx=7533254,,,no-original-landing
iaae-ethics-6843729,iaae-ethics,[개인정보보호위원회] 인공지능 개인정보보호 자율점검표,2021-06-04,https://iaae.ai/research/?bmode=view&idx=6843729,,,no-original-landing
iaae-ethics-6164769,iaae-ethics,[아름다운인터넷세상] 코르셋에 갇힌 인공지능,2021-03-31,https://iaae.ai/research/?bmode=view&idx=6164769,,,no-original-landing
iaae-ethics-6164716,iaae-ethics,[한국지능정보사회진흥원] 2021 지능정보윤리 이슈리포트 (봄호),2021-03-31,https://iaae.ai/research/?bmode=view&idx=6164716,,,no-original-landing
iaae-ethics-6013242,iaae-ethics,[독일 연방교통인프라부] Ethics Commission Automated and Connected Driving,2021-03-07,https://iaae.ai/research/?bmode=view&idx=6013242,,,no-original-landing
iaae-ethics-5915219,iaae-ethics,[네이버] AI 윤리 준칙,2021-02-17,https://iaae.ai/research/?bmode=view&idx=5915219,,,no-original-landing
iaae-ethics-5634394,iaae-ethics,[IAAE] IAAE 인공지능 윤리 헌장_210111개정 (영문본),2021-01-11,https://iaae.ai/research/?bmode=view&idx=5634394,,,no-original-landing
iaae-ethics-5634386,iaae-ethics,[IAAE] IAAE 인공지능 윤리 헌장_210111개정 (한글본),2021-01-11,https://iaae.ai/research/?bmode=view&idx=5634386,,,no-original-landing
iaae-ethics-5623386,iaae-ethics,[롤스로이스] AI ethics toolkit - The Aletheia Framework,2021-01-08,https://iaae.ai/research/?bmode=view&idx=5623386,,,no-original-landing
iaae-ethics-5254862,iaae-ethics,[미국연방거래위원회] Using Artificial Intelligence and Algorithms,2020-11-04,https://iaae.ai/research/?bmode=view&idx=5254862,,,no-original-landing
iaae-ethics-5253877,iaae-ethics,[OpenAI] OpenAI 헌장,2020-11-04,https://iaae.ai/research/?bmode=view&idx=5253877,,,no-original-landing
iaae-ethics-5253827,iaae-ethics,[AI NOW INSTITUTE] AI Now 2019 Report,2020-11-04,https://iaae.ai/research/?bmode=view&idx=5253827,,,no-original-landing
iaae-ethics-5253810,iaae-ethics,[AI NOW INSTITUTE] Discriminating Systems,2020-11-04,https://iaae.ai/research/?bmode=view&idx=5253810,,,no-original-landing
iaae-ethics-5075932,iaae-ethics,[국회입법조사처] 인공지능의 윤리적 사용을 위한 개선과제 보고서,2020-10-12,https://iaae.ai/research/?bmode=view&idx=5075932,,,no-original-landing
iaae-ethics-4902253,iaae-ethics,[KAIEA] 인공지능 윤리 대전 강연자료 (요약본),2020-09-19,https://iaae.ai/research/?bmode=view&idx=4902253,,,no-original-landing
