id,collection,collection_name,date,category,org,title,page_url,source_urls,document_name,body
iaae-ethics-172347900,iaae-ethics,IAAE 연구자료실,2026-07-11,과기부/KISA,과기부/KISA,[과기부/KISA] AI 보안 위협 대응 매뉴얼,https://iaae.ai/research/?bmode=view&idx=172347900,https://www.kisa.kr/401/form?postSeq=3712#fnPostAttachDownload,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] KISA 홈페이지 (https://www.kisa.kr/401/form?postSeq=3712#fnPostAttachDownload)[자료제목] AI 보안 위협 대응 매뉴얼""/>
자료출처] KISA 홈페이지 (https://www.kisa.kr/401/form?postSeq=3712#fnPostAttachDownload)[자료제목] AI 보안 위협 대응 매뉴얼""/>
자료제목] AI 보안 위협 대응 매뉴얼""/>"
iaae-ethics-171888358,iaae-ethics,IAAE 연구자료실,2026-06-18,서울특별시,서울특별시,[서울특별시] 서울특별시 인공지능 활용 윤리 지침,https://iaae.ai/research/?bmode=view&idx=171888358,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 서울특별시 홈페이지[자료제목] 서울특별시 인공지능 활용 윤리 지침""/>
자료출처] 서울특별시 홈페이지[자료제목] 서울특별시 인공지능 활용 윤리 지침""/>
자료제목] 서울특별시 인공지능 활용 윤리 지침""/>"
iaae-ethics-171721954,iaae-ethics,IAAE 연구자료실,2026-06-09,CISA 등,CISA 등,[CISA 등] CAREFUL ADOPTION OF AGENTIC AI SERVICES,https://iaae.ai/research/?bmode=view&idx=171721954,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] CISA 홈페이지[자료제목] CAREFUL ADOPTION OF AGENTIC AI SERVICES""/>
자료출처] CISA 홈페이지[자료제목] CAREFUL ADOPTION OF AGENTIC AI SERVICES""/>
자료제목] CAREFUL ADOPTION OF AGENTIC AI SERVICES""/>"
iaae-ethics-171471905,iaae-ethics,IAAE 연구자료실,2026-05-26,과학기술정보통신부,과학기술정보통신부,[과학기술정보통신부] 인공지능 안전성 확보 가이드라인,https://iaae.ai/research/?bmode=view&idx=171471905,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] ETRI 홈페이지[자료제목] 인공지능 안전성 확보 가이드라인""/>
자료출처] ETRI 홈페이지[자료제목] 인공지능 안전성 확보 가이드라인""/>
자료제목] 인공지능 안전성 확보 가이드라인""/>"
iaae-ethics-171411469,iaae-ethics,IAAE 연구자료실,2026-05-22,NC문화재단,NC문화재단,[NC문화재단] 예비 개발자를 위한 인공지능 윤리교육 연구 보고서,https://iaae.ai/research/?bmode=view&idx=171411469,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=6b4a196b69d9bee2&control_no=23c39acfc62de0b8&keyword=%EC%98%88%EB%B9%84%20%EA%B0%9C%EB%B0%9C%EC%9E%90%20%EC%9C%A4%EB%A6%AC%EA%B5%90%EC%9C%A1%20%EC%97%B0%EA%B5%AC,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] RISS 홈페이지 (https://www.riss.kr/search/detail/DetailView.do?p_mat_type=6b4a196b69d9bee2&control_no=23c39acfc62de0b8&keyword=%EC%98%88%EB%B9%84%20%EA%B0%9C%EB%B0%9C%EC%9E%90
자료출처] RISS 홈페이지 (https://www.riss.kr/search/detail/DetailView.do?p_mat_type=6b4a196b69d9bee2&control_no=23c39acfc62de0b8&keyword=%EC%98%88%EB%B9%84%20%EA%B0%9C%EB%B0%9C%EC%9E%90%20%EC%9C%A4%EB%A6%AC%EA%B5%90%EC%9C%A1%20%EC%97%B0%EA%B5%AC)[자료제목] 예비 개발자를 위한 인공지능 윤리교육 연구 보고서""/>
자료제목] 예비 개발자를 위한 인공지능 윤리교육 연구 보고서""/>"
iaae-ethics-171122901,iaae-ethics,IAAE 연구자료실,2026-05-03,"개인정보보호위원회,KISA","개인정보보호위원회,KISA","[개인정보보호위원회,KISA] 개인정보 영향평가 수행안내서",https://iaae.ai/research/?bmode=view&idx=171122901,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] KISA 홈페이지[자료제목] 개인정보 영향평가 수행안내서""/>
자료출처] KISA 홈페이지[자료제목] 개인정보 영향평가 수행안내서""/>
자료제목] 개인정보 영향평가 수행안내서""/>"
iaae-ethics-171122882,iaae-ethics,IAAE 연구자료실,2026-05-03,한국저작권위원회,한국저작권위원회,[한국저작권위원회] 생성형 인공지능의 저작물 학습에 대한 저작권법상 공정이용 안내서,https://iaae.ai/research/?bmode=view&idx=171122882,https://www.copyright.or.kr/information-materials/publication/research-report/view.do?brdctsno=55211,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 한국저작권위원회 홈페이지 (https://www.copyright.or.kr/information-materials/publication/research-report/view.do?brdctsno=55211)[자료제목] 생성형 인공지능의 저작물 학습에 대한 저작권법상 공정이용 안내서""/>
자료출처] 한국저작권위원회 홈페이지 (https://www.copyright.or.kr/information-materials/publication/research-report/view.do?brdctsno=55211)[자료제목] 생성형 인공지능의 저작물 학습에 대한 저작권법상 공정이용 안내서""/>
자료제목] 생성형 인공지능의 저작물 학습에 대한 저작권법상 공정이용 안내서""/>"
iaae-ethics-171118923,iaae-ethics,IAAE 연구자료실,2026-05-03,"과학기술정보통신부,KISDI","과학기술정보통신부,KISDI","[과학기술정보통신부,KISDI] 인공지능 영향평가 가이드라인",https://iaae.ai/research/?bmode=view&idx=171118923,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] KISDI 홈페이지[자료제목] 인공지능 영향평가 가이드라인""/>
자료출처] KISDI 홈페이지[자료제목] 인공지능 영향평가 가이드라인""/>
자료제목] 인공지능 영향평가 가이드라인""/>"
iaae-ethics-170970022,iaae-ethics,IAAE 연구자료실,2026-04-22,"ITU,CRC 등","ITU,CRC 등","[ITU,CRC 등] 인공지능과 아동 권리에 대한 공동성명",https://iaae.ai/research/?bmode=view&idx=170970022,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 국제전기통신연합(ITU) 홈페이지[자료제목] 인공지능과 아동 권리에 대한 공동성명""/>
자료출처] 국제전기통신연합(ITU) 홈페이지[자료제목] 인공지능과 아동 권리에 대한 공동성명""/>
자료제목] 인공지능과 아동 권리에 대한 공동성명""/>"
iaae-ethics-170644595,iaae-ethics,IAAE 연구자료실,2026-04-01,과학기술정보통신부,과학기술정보통신부,[과학기술정보통신부] 인공지능기본법 지원데스크 사례집,https://iaae.ai/research/?bmode=view&idx=170644595,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] KOSA 홈페이지[자료제목] 인공지능기본법 지원데스크 사례집""/>
자료출처] KOSA 홈페이지[자료제목] 인공지능기본법 지원데스크 사례집""/>
자료제목] 인공지능기본법 지원데스크 사례집""/>"
iaae-ethics-169335966,iaae-ethics,IAAE 연구자료실,2026-01-06,교육부+교육청,교육부+교육청,[교육부+교육청] 학생 수행평가 시 인공지능(AI) 활용 관리 방안,https://iaae.ai/research/?bmode=view&idx=169335966,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=294&boardSeq=104984&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=020402&opType=N,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 교육부 홈페이지(https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=294&boardSeq=104984&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=020402&opType=N)[자료제목] 학생 수행평가 시 인공지능(AI)
자료출처] 교육부 홈페이지(https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=294&boardSeq=104984&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=020402&opType=N)[자료제목] 학생 수행평가 시 인공지능(AI) 활용 관리 방안""/>
자료제목] 학생 수행평가 시 인공지능(AI) 활용 관리 방안""/>"
iaae-ethics-169210202,iaae-ethics,IAAE 연구자료실,2025-12-26,한국교육과정평가원,한국교육과정평가원,[한국교육과정평가원] 수업 및 평가를 위한 생성형 AI 활용 가이드라인,https://iaae.ai/research/?bmode=view&idx=169210202,https://www.kice.re.kr/resrchBoard/view.do?seq=1308&s=kice&m=030109,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 한국교육과정평가원 홈페이지(https://www.kice.re.kr/resrchBoard/view.do?seq=1308&s=kice&m=030109)[자료제목] 수업 및 평가를 위한 생성형 AI 활용 가이드라인""/>
자료출처] 한국교육과정평가원 홈페이지(https://www.kice.re.kr/resrchBoard/view.do?seq=1308&s=kice&m=030109)[자료제목] 수업 및 평가를 위한 생성형 AI 활용 가이드라인""/>
자료제목] 수업 및 평가를 위한 생성형 AI 활용 가이드라인""/>"
iaae-ethics-168965134,iaae-ethics,IAAE 연구자료실,2025-12-10,시청자미디어재단,시청자미디어재단,[시청자미디어재단] 시민대상 AI 활용 미디어 제작 지원 가이드,https://iaae.ai/research/?bmode=view&idx=168965134,https://kcmf.or.kr/KCMF/contents/KCMF030100.do?schM=view&page=1&viewCount=10&id=20251127095228328687&schBdcode=&schGroupCode=&schGroupCode=,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 시청자미디어재단 홈페이지(https://kcmf.or.kr/KCMF/contents/KCMF030100.do?schM=view&page=1&viewCount=10&id=20251127095228328687&schBdcode=&schGroupCode=&schGroupCode=)[자료제목] 시민대상 AI 활용
자료출처] 시청자미디어재단 홈페이지(https://kcmf.or.kr/KCMF/contents/KCMF030100.do?schM=view&page=1&viewCount=10&id=20251127095228328687&schBdcode=&schGroupCode=&schGroupCode=)[자료제목] 시민대상 AI 활용 미디어 제작 지원 가이드""/>
자료제목] 시민대상 AI 활용 미디어 제작 지원 가이드""/>"
iaae-ethics-168885341,iaae-ethics,IAAE 연구자료실,2025-12-04,NIA,NIA,[NIA] 「AI 환각: 위험 관리와 창의적 활용을 위한 정책 대응 전략」 보고서,https://iaae.ai/research/?bmode=view&idx=168885341,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=82618&bcIdx=28809&parentSeq=28809,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 한국지능정보사회진흥원 홈페이지(https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=82618&bcIdx=28809&parentSeq=28809)[자료제목] AI 환각: 위험 관리와 창의적 활용을 위한 정책 대응 전략 보고서""/>
자료출처] 한국지능정보사회진흥원 홈페이지(https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=82618&bcIdx=28809&parentSeq=28809)[자료제목] AI 환각: 위험 관리와 창의적 활용을 위한 정책 대응 전략 보고서""/>
자료제목] AI 환각: 위험 관리와 창의적 활용을 위한 정책 대응 전략 보고서""/>"
iaae-ethics-168872981,iaae-ethics,IAAE 연구자료실,2025-12-03,한국연구재단,한국연구재단,[한국연구재단] 생성형 인공지능 도구의 책임있는 사용을 위한 권고사항,https://iaae.ai/research/?bmode=view&idx=168872981,https://cre.nrf.re.kr | https://cre.nrf.re.kr/,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 연구윤리정보포털 홈페이지(https://cre.nrf.re.kr)[자료제목] 생성형 인공지능 도구의 책임있는 사용을 위한 권고사항""/>
자료출처] 연구윤리정보포털 홈페이지(https://cre.nrf.re.kr)[자료제목] 생성형 인공지능 도구의 책임있는 사용을 위한 권고사항""/>
자료제목] 생성형 인공지능 도구의 책임있는 사용을 위한 권고사항""/>"
iaae-ethics-168110608,iaae-ethics,IAAE 연구자료실,2025-10-04,IAAE,IAAE,[IAAE] IAAE 감정 교류 AI 윤리 가이드라인_250927제정 (한글본),https://iaae.ai/research/?bmode=view&idx=168110608,,,"연구 자료실 AI기술 뉴스(연합뉴스) AI윤리 뉴스(연합뉴스) 생성형AI 뉴스(연합뉴스) 공시 기부금 모금내역/활용실적 공익법인 의무사항공시 닫기 AI 윤리 가이드라인 제정 지원 [성명서 발표] 수능 AI 채점 도입, 원점 재검토 촉구 성명 로그인 회원가입 장바구니 0 icon icon site search 사단법인 국제인공지능윤리협회 협회홈 협회소개 IAAE 소개 IAAE 연혁 임원진 소개 전문위원장 소개 협회 조직도 협회 지부 오시는 길 사업안내 주요 사업 3대 추진사업 회원가입안내 IAAE 가입안내 회원사 혜택 회원사 소개 교육/강의안내 교육 시행 현황 AI윤리 교육/강의 안내 AI활용 교육/강의 안내 AI기술 교육/강의 안내 AI교양 강의 안내 AI윤리가이드라인 AI 윤리 가이드라인 제정 지원 현황 감정교류 AI 윤리 가이드라인 디지털휴먼 윤리가이드라인 인공지능 윤리 헌장 알림마당 공지 사항 협회 활동 보도 자료 Good AI 어워즈 국제 청소년 AI 공모전 수상작 안동 생성"
iaae-ethics-167884655,iaae-ethics,IAAE 연구자료실,2025-09-21,중국 과학기술부,중국 과학기술부,[중국 과학기술부] 책임 있는 연구 수행을 위한 지침,https://iaae.ai/research/?bmode=view&idx=167884655,https://share.google/rWp05ocleoxCzBofH,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 연구윤리정보포털 홈페이지(https://share.google/rWp05ocleoxCzBofH)[자료제목] 책임 있는 연구 수행을 위한 지침""/>
자료출처] 연구윤리정보포털 홈페이지(https://share.google/rWp05ocleoxCzBofH)[자료제목] 책임 있는 연구 수행을 위한 지침""/>
자료제목] 책임 있는 연구 수행을 위한 지침""/>"
iaae-ethics-167691596,iaae-ethics,IAAE 연구자료실,2025-09-11,KBS,KBS,[KBS] KBS AI 가이드라인,https://iaae.ai/research/?bmode=view&idx=167691596,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] KBS 사보[자료제목] KBS AI 가이드라인""/>
자료출처] KBS 사보[자료제목] KBS AI 가이드라인""/>
자료제목] KBS AI 가이드라인""/>"
iaae-ethics-167342600,iaae-ethics,IAAE 연구자료실,2025-08-17,개인정보보호위원회,개인정보보호위원회,[개인정보보호위원회] 생성형 인공지능(AI) 개발·활용을 위한 개인정보 처리 안내서,https://iaae.ai/research/?bmode=view&idx=167342600,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS074&mCode=C020010000&nttId=11410#LINK,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 개인정보보호위원 홈페이지(https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS074&mCode=C020010000&nttId=11410#LINK)[자료제목] 생성형 인공지능(AI) 개발·활용을 위한 개인정보 처리 안내서 ""/>
자료출처] 개인정보보호위원 홈페이지(https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS074&mCode=C020010000&nttId=11410#LINK)[자료제목] 생성형 인공지능(AI) 개발·활용을 위한 개인정보 처리 안내서 ""/>
자료제목] 생성형 인공지능(AI) 개발·활용을 위한 개인정보 처리 안내서 ""/>"
iaae-ethics-166459555,iaae-ethics,IAAE 연구자료실,2025-07-02,한국저작권위원회,한국저작권위원회,[한국저작권위원회] 생성형 인공지능 활용 저작물의 저작권 등록 안내서,https://iaae.ai/research/?bmode=view&idx=166459555,https://www.copyright.or.kr/information-materials/publication/research-report/view.do?brdctsno=54253,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 한국저작권위원회 홈페이지(https://www.copyright.or.kr/information-materials/publication/research-report/view.do?brdctsno=54253)[자료제목] 생성형 인공지능 활용 저작물의 저작권 등록 안내서""/>
자료출처] 한국저작권위원회 홈페이지(https://www.copyright.or.kr/information-materials/publication/research-report/view.do?brdctsno=54253)[자료제목] 생성형 인공지능 활용 저작물의 저작권 등록 안내서""/>
자료제목] 생성형 인공지능 활용 저작물의 저작권 등록 안내서""/>"
iaae-ethics-158098071,iaae-ethics,IAAE 연구자료실,2025-03-15,방송통신위원회,방송통신위원회,[방송통신위원회] 생성형 AI 서비스 이용자 보호 가이드라인,https://iaae.ai/research/?bmode=view&idx=158098071,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 방송통신위원회 홈페이지[자료제목] 생성형 AI 서비스 이용자 보호 가이드라인""/>
자료출처] 방송통신위원회 홈페이지[자료제목] 생성형 AI 서비스 이용자 보호 가이드라인""/>
자료제목] 생성형 AI 서비스 이용자 보호 가이드라인""/>"
iaae-ethics-148814648,iaae-ethics,IAAE 연구자료실,2025-02-06,교황청,교황청,"[교황청] AI의 올바른 사용 위한 가이드라인 「옛것과 새것」 (Antiqua et Nova, ancient and new)",https://iaae.ai/research/?bmode=view&idx=148814648,https://www.vatican.va/roman_curia/congregations/cfaith/documents/rc_ddf_doc_20250128_antiqua-et-nova_en.html#AI_and_Society,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 바티칸 교황청 홈페이지 (https://www.vatican.va/roman_curia/congregations/cfaith/documents/rc_ddf_doc_20250128_antiqua-et-nova_en.html#AI_and_Society)[자료제목] Antiqua et Nova""/>
자료출처] 바티칸 교황청 홈페이지 (https://www.vatican.va/roman_curia/congregations/cfaith/documents/rc_ddf_doc_20250128_antiqua-et-nova_en.html#AI_and_Society)[자료제목] Antiqua et Nova""/>
자료제목] Antiqua et Nova""/>"
iaae-ethics-146785228,iaae-ethics,IAAE 연구자료실,2025-01-30,미국저작권청,미국저작권청,[미국저작권청] Copyright and AI : Part2 - Copyrightability Report,https://iaae.ai/research/?bmode=view&idx=146785228,https://www.copyright.gov/ai/,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 미국 저작권청 홈페이지 (https://www.copyright.gov/ai/)[자료제목] Copyright and AI : Part2 - Copyrightability Report""/>
자료출처] 미국 저작권청 홈페이지 (https://www.copyright.gov/ai/)[자료제목] Copyright and AI : Part2 - Copyrightability Report""/>
자료제목] Copyright and AI : Part2 - Copyrightability Report""/>"
iaae-ethics-125282352,iaae-ethics,IAAE 연구자료실,2024-11-04,미국 백악관,미국 백악관,[미국 백악관] Framework to Advance AI Governance and Risk Management in National Security,https://iaae.ai/research/?bmode=view&idx=125282352,https://www.globalict.kr/intro/notice.do?menuCode=010200&boardno=1&datano=819,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 미국 백안관 홈페이지[자료제목] Framework to Advance AI Governance and Risk Management in National Security""/>
자료출처] 미국 백안관 홈페이지[자료제목] Framework to Advance AI Governance and Risk Management in National Security""/>
자료제목] Framework to Advance AI Governance and Risk Management in National Security""/>"
iaae-ethics-59212715,iaae-ethics,IAAE 연구자료실,2024-08-07,개인정보보호위원회,개인정보보호위원회,"[개인정보보호위원회] 인공지능 개발,서비스를 위한 공개된 개인정보 처리 안내서",https://iaae.ai/research/?bmode=view&idx=59212715,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 개인정보보호위원회 홈페이지[자료제목] 인공지능 개발,서비스를 위한 공개된 개인정보 처리 안내서""/>
자료출처] 개인정보보호위원회 홈페이지[자료제목] 인공지능 개발,서비스를 위한 공개된 개인정보 처리 안내서""/>
자료제목] 인공지능 개발,서비스를 위한 공개된 개인정보 처리 안내서""/>"
