id,collection,collection_name,date,category,org,title,page_url,source_urls,document_name,body
iaae-ethics-173721301,iaae-ethics,IAAE 연구자료실,2026-09-04,NC문화재단,NC문화재단,[NC문화재단] 가장 인간적인 미래를 위한 다학제적 AI 윤리 교육: Embedded EthiCS,https://iaae.ai/research/?bmode=view&idx=173721301,https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] NC문화재단 홈페이지 [자료제목] 가장 인간적인 미래를 위한 다학제적 AI 윤리 교육: Embedded EthiCS""/>
자료출처] NC문화재단 홈페이지 [자료제목] 가장 인간적인 미래를 위한 다학제적 AI 윤리 교육: Embedded EthiCS""/>
자료제목] 가장 인간적인 미래를 위한 다학제적 AI 윤리 교육: Embedded EthiCS""/>"
iaae-ethics-173516673,iaae-ethics,IAAE 연구자료실,2026-08-28,과기부/NIA/TTA/ETRI,과기부/NIA/TTA/ETRI,"[과기부/NIA/TTA/ETRI] 고영향 인공지능 판단 가이드라인, 고영향 인공지능 사업자 책무 가이드라인, 인공지능 투명성 확보 가이드라인, 인공지능 안전성 확보 가이드라인",https://iaae.ai/research/?bmode=view&idx=173516673,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=28987&deptCode=undefined&parentSeq=28987,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 한국지능정보사회진흥원(NIA) 홈페이지 (https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=28987&deptCode=undefined&parentSeq=28987)[자료제목] 고영향 인공지능 판단 가이드라인, 고영향 인공지능 사업자
자료출처] 한국지능정보사회진흥원(NIA) 홈페이지 (https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=28987&deptCode=undefined&parentSeq=28987)[자료제목] 고영향 인공지능 판단 가이드라인, 고영향 인공지능 사업자 책무 가이드라인, 인공지능 투명성 확보 가이드라인, 인공지능 안전성 확보 가이드라인""/>
자료제목] 고영향 인공지능 판단 가이드라인, 고영향 인공지능 사업자 책무 가이드라인, 인공지능 투명성 확보 가이드라인, 인공지능 안전성 확보 가이드라인""/>"
iaae-ethics-173516181,iaae-ethics,IAAE 연구자료실,2026-08-28,"교육부,한국대학교육협의회","교육부,한국대학교육협의회","[교육부,한국대학교육협의회] 대학 AI 활용 윤리 가이드라인",https://iaae.ai/research/?bmode=view&idx=173516181,https://www.kcue.or.kr/notice/sub06.php?pagenumber=1&at=view&idx=658867,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 한국대학교육협의회 홈페이지 (https://www.kcue.or.kr/notice/sub06.php?pagenumber=1&at=view&idx=658867)[자료제목] 대학 AI 활용 윤리 가이드라인""/>
자료출처] 한국대학교육협의회 홈페이지 (https://www.kcue.or.kr/notice/sub06.php?pagenumber=1&at=view&idx=658867)[자료제목] 대학 AI 활용 윤리 가이드라인""/>
자료제목] 대학 AI 활용 윤리 가이드라인""/>"
iaae-ethics-173403604,iaae-ethics,IAAE 연구자료실,2026-08-25,"과기부,KISDI,부처합동","과기부,KISDI,부처합동","[과기부,KISDI,부처합동] 대한민국 인공지능 윤리원칙",https://iaae.ai/research/?bmode=view&idx=173403604,https://ai.kisdi.re.kr,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] KISDI 인공지능 윤리 소통채널 홈페이지 (https://ai.kisdi.re.kr)[자료제목] 대한민국 인공지능 윤리원칙""/>
자료출처] KISDI 인공지능 윤리 소통채널 홈페이지 (https://ai.kisdi.re.kr)[자료제목] 대한민국 인공지능 윤리원칙""/>
자료제목] 대한민국 인공지능 윤리원칙""/>"
iaae-ethics-173283499,iaae-ethics,IAAE 연구자료실,2026-08-21,전북특별자치도교육청,전북특별자치도교육청,[전북특별자치도교육청] 전북 AI 리터러시 교육 가이드라인,https://iaae.ai/research/?bmode=view&idx=173283499,https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 국제인공지능윤리협회 홈페이지[자료제목] 전북 AI 리터러시 교육 가이드라인""/>
자료출처] 국제인공지능윤리협회 홈페이지[자료제목] 전북 AI 리터러시 교육 가이드라인""/>
자료제목] 전북 AI 리터러시 교육 가이드라인""/>"
iaae-ethics-172866423,iaae-ethics,IAAE 연구자료실,2026-08-04,과학기술정보통신부,과학기술정보통신부,"[과학기술정보통신부] AI 데이터 품질관리 가이드, 생성형AI 데이터 품질관리 가이드, AI 데이터 구축 가이드",https://iaae.ai/research/?bmode=view&idx=172866423,https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] AI HUB 홈페이지 (https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404)[자료제목] AI 데이터 품질관리 가이드, 생성형AI 데이터 품질관리 가이드, AI 데이터 구축 가이드 ""/>
자료출처] AI HUB 홈페이지 (https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404)[자료제목] AI 데이터 품질관리 가이드, 생성형AI 데이터 품질관리 가이드, AI 데이터 구축 가이드 ""/>
자료제목] AI 데이터 품질관리 가이드, 생성형AI 데이터 품질관리 가이드, AI 데이터 구축 가이드 ""/>"
iaae-ethics-172866259,iaae-ethics,IAAE 연구자료실,2026-08-04,보건복지부,보건복지부,[보건복지부] 보건의료데이터 활용 가이드라인,https://iaae.ai/research/?bmode=view&idx=172866259,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 보건복지부 홈페이지[자료제목] 보건의료데이터 활용 가이드라인""/>
자료출처] 보건복지부 홈페이지[자료제목] 보건의료데이터 활용 가이드라인""/>
자료제목] 보건의료데이터 활용 가이드라인""/>"
iaae-ethics-172866208,iaae-ethics,IAAE 연구자료실,2026-08-04,개인정보보호위원회,개인정보보호위원회,[개인정보보호위원회] 가명정보 처리 가이드라인,https://iaae.ai/research/?bmode=view&idx=172866208,,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 개인정보보호위원회 홈페이지[자료제목] 가명정보 처리 가이드라인""/>
자료출처] 개인정보보호위원회 홈페이지[자료제목] 가명정보 처리 가이드라인""/>
자료제목] 가명정보 처리 가이드라인""/>"
iaae-ethics-172397941,iaae-ethics,IAAE 연구자료실,2026-07-13,개인정보보호위원회,개인정보보호위원회,[개인정보보호위원회] 생성형 AI 서비스 이용자를 위한 개인정보 보호 가이드,https://iaae.ai/research/?bmode=view&idx=172397941,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS074&mCode=C020010000&nttId=12084#LINK,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] 개인정보보호위원회 홈페이지 (https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS074&mCode=C020010000&nttId=12084#LINK)[자료제목] 생성형 AI 서비스 이용자를 위한 개인정보 보호 가이드""/>
자료출처] 개인정보보호위원회 홈페이지 (https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS074&mCode=C020010000&nttId=12084#LINK)[자료제목] 생성형 AI 서비스 이용자를 위한 개인정보 보호 가이드""/>
자료제목] 생성형 AI 서비스 이용자를 위한 개인정보 보호 가이드""/>"
iaae-ethics-172347915,iaae-ethics,IAAE 연구자료실,2026-07-11,과기부/KISA,과기부/KISA,[과기부/KISA] AI 보안 레드티밍 가이드,https://iaae.ai/research/?bmode=view&idx=172347915,https://www.kisa.or.kr/401/form?postSeq=3713#fnPostAttachDownload,,"자세한 내용은 첨부된 자료를 다운로드하시기 바랍니다.[자료출처] KISA 홈페이지 (https://www.kisa.or.kr/401/form?postSeq=3713#fnPostAttachDownload)[자료제목] AI 보안 레드티밍 가이드""/>
자료출처] KISA 홈페이지 (https://www.kisa.or.kr/401/form?postSeq=3713#fnPostAttachDownload)[자료제목] AI 보안 레드티밍 가이드""/>
자료제목] AI 보안 레드티밍 가이드""/>"
