id,parent_id,date,org,title,page_url,source_urls,bundle_index,bundle_total
derived-split-iaae-ethics-173516673-1,iaae-ethics-173516673,2026-08-28,과기부/NIA/TTA/ETRI,[과기부/NIA/TTA/ETRI] 고영향 인공지능 판단 가이드라인,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=28987&deptCode=undefined&parentSeq=28987,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=27,1,4
derived-split-iaae-ethics-173516673-2,iaae-ethics-173516673,2026-08-28,과기부/NIA/TTA/ETRI,[과기부/NIA/TTA/ETRI] 고영향 인공지능 사업자 책무 가이드라인,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=28987&deptCode=undefined&parentSeq=28987,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=23,2,4
derived-split-iaae-ethics-173516673-3,iaae-ethics-173516673,2026-08-28,과기부/NIA/TTA/ETRI,[과기부/NIA/TTA/ETRI] 인공지능 투명성 확보 가이드라인,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=28987&deptCode=undefined&parentSeq=28987,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=14,3,4
derived-split-iaae-ethics-173516673-4,iaae-ethics-173516673,2026-08-28,과기부/NIA/TTA/ETRI,[과기부/NIA/TTA/ETRI] 인공지능 안전성 확보 가이드라인,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=28987&deptCode=undefined&parentSeq=28987,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=15,4,4
derived-split-iaae-ethics-172866423-1,iaae-ethics-172866423,2026-08-04,과학기술정보통신부,[과학기술정보통신부] AI 데이터 품질관리 가이드,https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404,https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404,1,3
derived-split-iaae-ethics-172866423-2,iaae-ethics-172866423,2026-08-04,과학기술정보통신부,[과학기술정보통신부] 생성형AI 데이터 품질관리 가이드,https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404,https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404,2,3
derived-split-iaae-ethics-172866423-3,iaae-ethics-172866423,2026-08-04,과학기술정보통신부,[과학기술정보통신부] AI 데이터 구축 가이드,https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404,https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404,3,3
